book_id,k_5,k_10,k_20,k_30,k_40,k_50,k_100,k_150,k_200
1,1,6,13,24,20,27,79,59,131
2,1,6,13,26,20,10,6,134,189
3,1,6,13,24,20,27,79,59,131
4,1,6,8,17,27,36,56,145,14
5,1,6,8,17,27,36,56,145,14
6,1,6,13,24,20,27,92,60,122
7,1,6,13,26,20,10,6,70,189
8,1,6,8,17,27,36,56,145,14
9,1,6,7,25,19,41,96,88,85
10,1,6,8,17,27,36,56,90,14
11,1,6,8,16,1,13,62,10,164
12,1,6,13,24,20,27,79,59,131
13,1,6,8,17,27,36,61,42,78
14,1,6,8,17,27,36,56,145,14
15,4,8,11,7,29,26,78,95,128
16,1,6,7,25,19,41,96,88,85
17,1,1,13,24,20,27,57,111,103
18,1,6,13,26,20,10,6,134,189
19,1,6,5,26,14,10,89,70,61
20,1,6,13,24,20,27,79,59,131
21,5,1,14,5,32,45,58,37,154
22,1,6,8,16,30,31,62,10,164
23,1,6,13,26,20,10,6,134,189
24,1,6,13,26,20,10,6,134,189
25,1,6,13,26,20,10,6,134,189
26,1,6,7,25,19,41,96,88,42
27,1,6,13,26,20,10,6,134,189
28,1,6,8,17,27,36,56,145,14
29,1,6,8,17,27,36,56,90,14
30,1,7,7,25,25,30,42,73,141
31,1,6,8,16,1,13,97,93,167
32,1,6,8,17,27,36,56,145,14
33,1,6,8,16,1,13,97,93,167
34,5,1,16,28,37,11,63,68,154
35,1,6,8,16,27,31,62,10,164
36,5,1,3,5,28,45,12,68,154
37,1,1,14,12,39,29,86,58,157
38,1,6,8,16,27,6,85,10,74
39,1,1,10,16,30,31,62,10,164
40,4,8,11,9,13,3,40,133,41
41,1,1,5,23,14,49,89,76,191
42,1,6,8,17,27,31,91,41,106
43,5,1,10,1,30,21,35,68,154
44,5,9,12,20,33,38,4,7,38
45,5,1,10,1,30,21,35,68,154
46,5,1,10,1,17,21,35,68,154
47,1,6,8,16,1,13,97,93,167
48,1,6,8,17,27,36,61,42,78
49,3,4,6,2,22,6,92,60,122
50,5,1,14,12,39,29,32,140,87
51,3,3,18,21,36,19,73,128,92
52,3,4,6,2,22,6,92,60,122
53,1,1,5,23,14,49,89,76,191
54,1,6,9,3,23,12,61,98,13
55,1,6,8,17,27,36,61,42,78
56,5,5,3,15,11,18,28,68,154
57,1,1,10,16,30,21,62,10,164
58,1,6,8,17,27,31,91,41,106
59,1,1,14,12,39,29,86,58,157
60,5,1,10,1,9,1,81,68,134
61,1,7,7,25,19,41,96,88,85
62,1,1,5,23,14,49,89,76,191
63,1,6,8,17,27,36,56,90,14
64,1,1,10,16,30,21,65,18,195
65,1,6,8,16,27,31,62,42,78
66,1,1,8,16,1,13,91,102,106
67,1,1,10,16,30,21,62,10,164
68,1,4,6,2,22,22,7,3,147
69,1,1,9,14,24,47,57,111,103
70,1,6,9,14,24,47,61,135,197
71,1,6,1,27,7,17,80,53,49
72,5,1,10,1,30,21,65,96,107
73,5,1,9,14,24,47,49,71,155
74,1,4,6,2,22,22,7,3,147
75,5,9,12,20,31,23,74,103,123
76,1,1,10,16,30,21,62,96,107
77,5,1,14,5,32,45,58,120,16
78,5,9,12,20,31,23,74,103,123
79,1,1,8,16,27,31,91,41,112
80,5,1,14,12,39,29,86,58,157
81,4,8,11,9,13,3,40,133,41
82,4,8,11,9,13,39,20,1,178
83,1,1,8,16,27,31,91,41,106
84,1,1,9,14,24,47,49,71,68
85,5,1,14,12,39,29,86,58,157
86,5,7,10,11,26,25,25,64,33
87,4,8,11,7,29,26,78,95,128
88,5,4,16,10,37,43,34,17,170
89,5,5,3,4,28,44,5,68,134
90,5,1,10,1,30,21,48,96,107
91,5,1,9,14,24,47,57,111,103
92,4,8,11,9,3,16,38,32,93
93,1,1,14,12,39,29,86,58,157
94,5,1,10,1,30,21,35,51,37
95,1,6,8,17,27,31,91,41,106
96,5,4,16,10,33,43,34,112,196
97,1,1,1,27,7,17,80,53,49
98,1,7,7,25,25,30,42,73,141
99,5,5,3,4,9,11,60,68,134
100,5,1,10,1,17,4,16,50,90
101,4,8,11,3,13,3,40,89,132
102,5,1,14,12,39,29,86,58,157
103,1,1,8,16,27,31,91,41,106
104,5,1,10,14,24,47,49,15,70
105,1,1,9,14,24,47,57,111,103
106,4,8,11,9,13,3,40,89,132
107,5,5,3,4,9,44,52,68,134
108,5,5,3,4,33,38,72,148,134
109,1,1,8,16,30,31,91,41,106
110,1,1,5,23,14,49,89,143,61
111,5,1,10,1,30,21,65,96,54
112,5,5,16,28,33,11,72,68,134
113,1,1,8,16,27,31,62,41,106
114,4,8,11,9,13,15,14,81,100
115,1,1,15,16,30,21,62,96,107
116,1,1,8,16,30,31,91,41,81
117,5,1,9,14,24,47,54,6,65
118,5,5,3,1,9,1,81,112,134
119,1,6,8,16,27,31,62,42,78
120,5,9,12,20,33,38,45,7,38
121,5,1,10,1,30,21,35,130,44
122,5,5,3,4,9,1,26,68,134
123,5,7,10,11,26,25,71,61,33
124,1,1,10,16,30,21,65,18,195
125,1,1,8,16,30,31,91,41,81
126,1,1,9,14,24,47,61,135,197
127,4,8,2,13,18,2,88,72,34
128,4,8,2,13,18,2,13,1,178
129,1,1,10,16,30,31,48,57,81
130,1,1,8,16,27,31,91,41,106
131,1,1,8,16,27,31,91,41,106
132,5,5,3,4,16,7,3,101,88
133,5,1,14,12,32,45,58,120,172
134,3,3,18,21,36,19,73,75,92
135,1,1,5,23,14,49,89,143,61
136,5,9,12,20,33,38,45,7,38
137,3,4,6,2,1,6,85,144,39
138,5,5,3,1,9,1,81,68,134
139,1,1,5,23,14,49,57,76,191
140,1,7,7,25,19,41,71,61,199
141,5,5,9,14,24,47,49,71,155
142,1,1,10,16,1,13,97,102,167
143,1,1,10,16,1,13,97,102,167
144,4,8,11,7,29,26,78,95,128
145,5,7,7,25,19,25,71,61,199
146,1,1,10,19,21,5,66,18,195
147,5,4,16,10,37,43,34,22,130
148,5,1,10,16,1,13,16,102,116
149,3,4,6,2,22,22,7,45,147
