tag_id,tag_name,tag_count,match,max_score,Genre,Alt1,Alt2,Alt3
11743,fiction,3688819,13,100,Fiction,Literature,NA,NA
11305,fantasy,3548157,12,100,Fantasy,NA,NA,NA
33114,young-adult,1848306,39,100,Young Adult,YA,NA,NA
7457,classics,1756920,7,100,Classics,NA,NA,NA
26138,romance,1231926,30,100,Romance,NA,NA,NA
20939,mystery,872282,23,100,Mystery,NA,NA,NA
21689,non-fiction,857901,24,100,Non-fiction,Nonfiction,NA,NA
14487,historical-fiction,815421,16,100,Historical Fiction,NA,NA,NA
26837,science-fiction,703866,32,100,Science Fiction,Sci-Fi,SF,SFF
22973,paranormal,542559,25,100,Paranormal,NA,NA,NA
8055,contemporary,486001,9,100,Contemporary,NA,NA,NA
14821,horror,415467,18,100,Horror,NA,NA,NA
7404,classic,334113,7,93,Classics,NA,NA,NA
6953,childrens,315716,5,94,Children,NA,NA,NA
13561,graphic-novels,313560,15,100,Graphic Novels,Manga,NA,NA
30358,thriller,309276,37,100,Thriller,NA,NA,NA
14552,history,291366,17,100,History,NA,NA,NA
6750,chick-lit,251072,4,100,Chick Lit,NA,NA,NA
6857,children,218410,5,100,Children,NA,NA,NA
8517,crime,204493,11,100,Crime,NA,NA,NA
7778,comics,193981,8,100,Comics,NA,NA,NA
19733,memoir,183477,21,100,Memoir,NA,NA,NA
6888,children-s,179037,5,89,Children,NA,NA,NA
4605,biography,172444,2,100,Biography,NA,NA,NA
19052,manga,148583,20,100,Manga,NA,NA,NA
23471,philosophy,141156,26,100,Philosophy,NA,NA,NA
13547,graphic-novel,138563,15,96,Graphic Novels,Manga,NA,NA
26816,science,138377,31,100,Science,NA,NA,NA
29076,suspense,132115,34,100,Suspense,NA,NA,NA
23831,poetry,127220,27,100,Poetry,NA,NA,NA
24526,psychology,86830,28,100,Psychology,NA,NA,NA
5951,business,73249,3,100,Business,NA,NA,NA
19742,memoirs,68063,21,92,Memoir,NA,NA,NA
25647,religion,63940,29,100,Religion,NA,NA,NA
7077,christian,53864,6,100,Christian,NA,NA,NA
27095,self-help,52051,33,100,Self Help,NA,NA,NA
30386,thrillers,47883,37,94,Thriller,NA,NA,NA
31155,travel,46595,38,100,Travel,NA,NA,NA
8782,cómics,34793,8,91,Comics,NA,NA,NA
2938,art,30262,1,100,Art,NA,NA,NA
28384,spirituality,28405,35,100,Spirituality,NA,NA,NA
7563,clàssics,28198,7,93,Classics,NA,NA,NA
20673,music,25630,22,100,Music,NA,NA,NA
28422,sports,23821,36,100,Sports,NA,NA,NA
28341,spiritual,22936,35,86,Spirituality,NA,NA,NA
8150,cookbooks,22689,10,100,Cookbooks,NA,NA,NA
7739,comic,22546,8,91,Comics,NA,NA,NA
19175,mangá,21522,20,89,Manga,NA,NA,NA
6766,chicklit,21449,4,94,Chick Lit,NA,NA,NA
7203,christianity,17316,6,86,Christian,NA,NA,NA
33004,ya-contemporary,17078,9,89,Contemporary,NA,NA,NA
33035,ya-paranormal,14985,25,87,Paranormal,NA,NA,NA
6729,chic-lit,14949,4,94,Chick Lit,NA,NA,NA
11780,fiction-historical,7615,16,100,Historical Fiction,NA,NA,NA
19165,mangas,6068,20,91,Manga,NA,NA,NA
8779,còmics,4948,8,91,Comics,NA,NA,NA
13597,graphicnovels,4681,15,96,Graphic Novels,Manga,NA,NA
14461,historic-fiction,4606,16,94,Historical Fiction,NA,NA,NA
8084,contemporary-ya,4029,9,89,Contemporary,NA,NA,NA
7451,classici,4023,7,88,Classics,NA,NA,NA
8130,cookbook,3894,10,94,Cookbooks,NA,NA,NA
11396,fantasía,3524,12,86,Fantasy,NA,NA,NA
28420,sport,3389,36,91,Sports,NA,NA,NA
14520,historical-non-fiction,2382,16,90,Historical Fiction,NA,NA,NA
33138,young-adults,1725,39,96,Young Adult,YA,NA,NA
15960,j-fiction,1611,13,88,Fiction,Literature,NA,NA
26178,romancé,1561,30,92,Romance,NA,NA,NA
25709,religión,1555,29,93,Religion,NA,NA,NA
20205,mistery,1522,23,86,Mystery,NA,NA,NA
13596,graphicnovel,1372,15,92,Graphic Novels,Manga,NA,NA
8069,contemporary-lit,1336,9,86,Contemporary,NA,NA,NA
3169,arts,1094,1,86,Art,NA,NA,NA
33018,ya-historical-fiction,1065,16,92,Historical Fiction,NA,NA,NA
14485,historical-fic,939,16,88,Historical Fiction,NA,NA,NA
26885,sciences,860,31,93,Science,NA,NA,NA
13594,graphic_novels,773,15,93,Graphic Novels,Manga,NA,NA
26177,romances,771,30,93,Romance,NA,NA,NA
21732,non-fiction-science,727,31,88,Science,Sci-Fi,SF,SFF
23469,philosophie,632,26,86,Philosophy,NA,NA,NA
13952,hard-science-fiction,534,32,86,Science Fiction,Sci-Fi,SF,SFF
22994,paranormal-ya,534,25,87,Paranormal,NA,NA,NA
29073,suspence,513,34,88,Suspense,NA,NA,NA
13593,graphic_novel,403,15,89,Graphic Novels,Manga,NA,NA
7390,clasicos,380,7,88,Classics,NA,NA,NA
23519,philosphy,368,26,95,Philosophy,NA,NA,NA
21799,nonfiction-science,367,31,91,Science,Sci-Fi,SF,SFF
33047,ya-science-fiction,344,32,91,Science Fiction,Sci-Fi,SF,SFF
22995,paranormalcy,317,25,91,Paranormal,NA,NA,NA
3120,arte,309,1,86,Art,NA,NA,NA
24560,psycology,262,28,95,Psychology,NA,NA,NA
20803,my-cookbooks,258,10,86,Cookbooks,NA,NA,NA
8553,crimes,222,11,91,Crime,NA,NA,NA
6772,chiclit,217,4,88,Chick Lit,NA,NA,NA
25683,religions,217,29,94,Religion,NA,NA,NA
26865,science-non-fiction,214,31,88,Science,Sci-Fi,SF,SFF
24208,prehistoric-fiction,206,16,86,Historical Fiction,NA,NA,NA
1660,adult-historical-fiction,191,16,86,Historical Fiction,NA,NA,NA
12729,g-fantasy,187,12,88,Fantasy,NA,NA,NA
26179,romane,184,30,92,Romance,NA,NA,NA
7436,classic-sf,180,32,89,Science Fiction,NA,NA,NA
24524,psychologie,166,28,86,Psychology,NA,NA,NA
11283,fantacy,159,12,86,Fantasy,NA,NA,NA
6759,chick-lits,157,4,95,Chick Lit,NA,NA,NA
20702,musica,155,22,91,Music,NA,NA,NA
31192,travels,139,38,92,Travel,NA,NA,NA
21688,non-fictie,126,24,86,Non-fiction,Nonfiction,NA,NA
33015,ya-graphic-novels,124,15,90,Graphic Novels,Manga,NA,NA
32998,ya-chick-lit,122,4,86,Chick Lit,NA,NA,NA
13010,genre-historical-fiction,113,16,86,Historical Fiction,NA,NA,NA
25715,relígion,109,29,93,Religion,NA,NA,NA
8080,contemporary-tbr,103,9,86,Contemporary,NA,NA,NA
6016,bussiness,101,3,94,Business,NA,NA,NA
5901,buisness,84,3,88,Business,NA,NA,NA
7568,clássicos,76,7,88,Classics,NA,NA,NA
12875,gay-and-lesbian,75,14,100,Gay and Lesbian,LGBT,NA,NA
25603,region,57,29,86,Religion,NA,NA,NA
23548,phylosophy,50,26,90,Philosophy,NA,NA,NA
11289,fantasi,49,12,86,Fantasy,NA,NA,NA
14503,historical-fiction-read,48,16,88,Historical Fiction,NA,NA,NA
11308,fantasy-4,46,12,88,Fantasy,NA,NA,NA
17757,lds-historical-fiction,46,16,90,Historical Fiction,NA,NA,NA
26866,science-nonfiction,43,31,91,Science,Sci-Fi,SF,SFF
31311,tudor-historical-fiction,43,16,86,Historical Fiction,NA,NA,NA
24697,pyschology,40,28,90,Psychology,NA,NA,NA
25643,religi,40,29,86,Religion,NA,NA,NA
7455,classicos,39,7,94,Classics,NA,NA,NA
25131,read-historical-fiction,38,16,88,Historical Fiction,NA,NA,NA
11735,ficcion,36,13,86,Fiction,Literature,NA,NA
12734,g-historical-fiction,33,16,95,Historical Fiction,NA,NA,NA
13586,graphic-novels-tbr,32,15,88,Graphic Novels,Manga,NA,NA
19432,mastery,32,23,86,Mystery,NA,NA,NA
24210,prehistorical-fiction,32,16,92,Historical Fiction,NA,NA,NA
11853,fictions,30,13,93,Fiction,Literature,NA,NA
5805,bromance,29,30,93,Romance,NA,NA,NA
27774,silence,29,31,86,Science,NA,NA,NA
25710,religon,27,29,93,Religion,NA,NA,NA
26840,science-fiction-dune,27,32,86,Science Fiction,Sci-Fi,SF,SFF
15829,irreligion,26,29,89,Religion,NA,NA,NA
13572,graphic-novels-dc,25,15,90,Graphic Novels,Manga,NA,NA
6782,chik-lit,24,4,94,Chick Lit,NA,NA,NA
20833,my-graphic-novels,24,15,90,Graphic Novels,Manga,NA,NA
15052,humor-comedy,23,19,86,Humor and Comedy,Humor,Comedy,NA
22989,paranormal-uf,23,25,87,Paranormal,NA,NA,NA
14495,historical-fiction-egypt,21,16,86,Historical Fiction,NA,NA,NA
